,Year,ACCIDENT_TYPE,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,ALCOHOL_RELATED,TOTAL_PERSONS,INJ_OR_FATAL,DRIVER,OLD_DRIVER,YOUNG_DRIVER
55,2013,Collision with a fixed object,Not at intersection,Other injury accident,90 km/hr,No,6,6,5,0,1
56,2013,Collision with a fixed object,Not at intersection,Other injury accident,Camping grounds or off road,No,3,3,1,0,0
57,2013,Collision with a fixed object,Not at intersection,Other injury accident,Not known,No,15,9,7,0,3
58,2013,Collision with a fixed object,Not at intersection,Serious injury accident,100 km/hr,No,166,140,102,7,31
59,2013,Collision with a fixed object,Not at intersection,Serious injury accident,100 km/hr,Yes,17,17,14,0,7
60,2013,Collision with a fixed object,Not at intersection,Serious injury accident,110 km/hr,No,18,14,11,1,2
61,2013,Collision with a fixed object,Not at intersection,Serious injury accident,110 km/hr,Yes,3,3,3,0,0
62,2013,Collision with a fixed object,Not at intersection,Serious injury accident,40 km/hr,No,4,4,2,0,2
63,2013,Collision with a fixed object,Not at intersection,Serious injury accident,40 km/hr,Yes,1,1,1,0,0
64,2013,Collision with a fixed object,Not at intersection,Serious injury accident,50 km/hr,No,52,44,28,3,12
65,2013,Collision with a fixed object,Not at intersection,Serious injury accident,50 km/hr,Yes,7,6,6,0,0
66,2013,Collision with a fixed object,Not at intersection,Serious injury accident,60 km/hr,No,74,58,49,2,15
67,2013,Collision with a fixed object,Not at intersection,Serious injury accident,60 km/hr,Yes,21,18,14,0,4
68,2013,Collision with a fixed object,Not at intersection,Serious injury accident,70 km/hr,No,39,31,27,3,9
69,2013,Collision with a fixed object,Not at intersection,Serious injury accident,70 km/hr,Yes,3,3,2,0,0
70,2013,Collision with a fixed object,Not at intersection,Serious injury accident,80 km/hr,No,84,71,48,3,15
71,2013,Collision with a fixed object,Not at intersection,Serious injury accident,80 km/hr,Yes,12,11,9,0,3
72,2013,Collision with a fixed object,Not at intersection,Serious injury accident,90 km/hr,No,2,2,2,0,2
73,2013,Collision with a fixed object,Not at intersection,Serious injury accident,90 km/hr,Yes,1,1,1,0,1
74,2013,Collision with a fixed object,Not at intersection,Serious injury accident,Not known,No,9,9,5,0,2
75,2013,Collision with a fixed object,Not at intersection,Serious injury accident,Not known,Yes,1,1,0,0,0
76,2013,Collision with a fixed object,T intersection,Fatal accident,100 km/hr,No,10,10,2,0,0
77,2013,Collision with a fixed object,T intersection,Fatal accident,70 km/hr,No,2,1,1,0,0
78,2013,Collision with a fixed object,T intersection,Fatal accident,80 km/hr,No,1,1,1,0,0
79,2013,Collision with a fixed object,T intersection,Fatal accident,Not known,Yes,1,1,1,0,0
80,2013,Collision with a fixed object,T intersection,Other injury accident,100 km/hr,No,20,18,16,0,6
81,2013,Collision with a fixed object,T intersection,Other injury accident,100 km/hr,Yes,2,2,2,0,0
82,2013,Collision with a fixed object,T intersection,Other injury accident,40 km/hr,No,3,3,2,0,0
83,2013,Collision with a fixed object,T intersection,Other injury accident,50 km/hr,No,33,24,22,1,5
84,2013,Collision with a fixed object,T intersection,Other injury accident,50 km/hr,Yes,1,1,1,0,0
85,2013,Collision with a fixed object,T intersection,Other injury accident,60 km/hr,No,49,38,38,0,10
86,2013,Collision with a fixed object,T intersection,Other injury accident,60 km/hr,Yes,6,6,5,0,0
87,2013,Collision with a fixed object,T intersection,Other injury accident,70 km/hr,No,14,11,9,1,2
88,2013,Collision with a fixed object,T intersection,Other injury accident,70 km/hr,Yes,1,1,1,0,0
89,2013,Collision with a fixed object,T intersection,Other injury accident,80 km/hr,No,14,9,10,0,4
90,2013,Collision with a fixed object,T intersection,Other injury accident,80 km/hr,Yes,1,1,1,0,0
91,2013,Collision with a fixed object,T intersection,Other injury accident,90 km/hr,No,3,2,3,0,2
92,2013,Collision with a fixed object,T intersection,Other injury accident,Not known,No,4,2,2,0,0
93,2013,Collision with a fixed object,T intersection,Serious injury accident,100 km/hr,No,15,14,11,0,5
94,2013,Collision with a fixed object,T intersection,Serious injury accident,100 km/hr,Yes,5,5,4,0,1
95,2013,Collision with a fixed object,T intersection,Serious injury accident,110 km/hr,No,2,2,1,0,0
96,2013,Collision with a fixed object,T intersection,Serious injury accident,50 km/hr,No,27,22,15,2,3
97,2013,Collision with a fixed object,T intersection,Serious injury accident,50 km/hr,Yes,3,3,2,0,0
98,2013,Collision with a fixed object,T intersection,Serious injury accident,60 km/hr,No,19,16,14,0,4
99,2013,Collision with a fixed object,T intersection,Serious injury accident,60 km/hr,Yes,8,8,8,0,0
100,2013,Collision with a fixed object,T intersection,Serious injury accident,70 km/hr,No,13,10,8,1,2
101,2013,Collision with a fixed object,T intersection,Serious injury accident,70 km/hr,Yes,2,2,1,0,0
102,2013,Collision with a fixed object,T intersection,Serious injury accident,80 km/hr,No,10,9,7,0,3
103,2013,Collision with a fixed object,T intersection,Serious injury accident,80 km/hr,Yes,4,4,3,0,1
104,2013,Collision with a fixed object,T intersection,Serious injury accident,Not known,No,1,1,1,0,0
105,2013,Collision with a fixed object,Unknown,Other injury accident,100 km/hr,No,1,1,1,0,1
106,2013,Collision with a fixed object,Unknown,Other injury accident,50 km/hr,No,1,1,1,1,0
107,2013,Collision with a fixed object,Unknown,Serious injury accident,100 km/hr,No,1,1,1,0,0
108,2013,Collision with a fixed object,Y intersection,Other injury accident,100 km/hr,No,1,1,1,0,1
109,2013,Collision with a fixed object,Y intersection,Serious injury accident,60 km/hr,No,2,2,1,0,1
110,2013,Collision with vehicle,Cross intersection,Fatal accident,100 km/hr,No,5,3,4,2,1
111,2013,Collision with vehicle,Cross intersection,Fatal accident,110 km/hr,No,7,6,4,1,1
112,2013,Collision with vehicle,Cross intersection,Fatal accident,60 km/hr,No,6,5,4,1,0
113,2013,Collision with vehicle,Cross intersection,Fatal accident,60 km/hr,Yes,2,1,1,0,0
114,2013,Collision with vehicle,Cross intersection,Fatal accident,80 km/hr,No,7,4,3,0,0
115,2013,Collision with vehicle,Cross intersection,Other injury accident,100 km/hr,No,107,38,60,3,12
116,2013,Collision with vehicle,Cross intersection,Other injury accident,110 km/hr,No,7,3,4,0,1
117,2013,Collision with vehicle,Cross intersection,Other injury accident,40 km/hr,No,126,60,67,2,15
118,2013,Collision with vehicle,Cross intersection,Other injury accident,50 km/hr,No,645,296,414,22,92
119,2013,Collision with vehicle,Cross intersection,Other injury accident,60 km/hr,No,1144,499,775,42,196
120,2013,Collision with vehicle,Cross intersection,Other injury accident,60 km/hr,Yes,8,5,6,0,2
121,2013,Collision with vehicle,Cross intersection,Other injury accident,70 km/hr,No,276,128,185,3,35
122,2013,Collision with vehicle,Cross intersection,Other injury accident,80 km/hr,No,386,180,275,12,56
123,2013,Collision with vehicle,Cross intersection,Other injury accident,80 km/hr,Yes,2,2,2,0,0
124,2013,Collision with vehicle,Cross intersection,Other injury accident,90 km/hr,No,13,7,8,0,2
125,2013,Collision with vehicle,Cross intersection,Other injury accident,Not known,No,116,57,85,2,18
126,2013,Collision with vehicle,Cross intersection,Other injury accident,Other speed limit,No,2,1,1,1,0
127,2013,Collision with vehicle,Cross intersection,Serious injury accident,100 km/hr,No,116,79,69,7,16
128,2013,Collision with vehicle,Cross intersection,Serious injury accident,110 km/hr,No,6,6,2,0,1
129,2013,Collision with vehicle,Cross intersection,Serious injury accident,30km/hr,No,2,1,2,0,0
130,2013,Collision with vehicle,Cross intersection,Serious injury accident,40 km/hr,No,46,20,23,0,6
131,2013,Collision with vehicle,Cross intersection,Serious injury accident,50 km/hr,No,137,69,85,7,11
132,2013,Collision with vehicle,Cross intersection,Serious injury accident,50 km/hr,Yes,12,9,8,1,3
133,2013,Collision with vehicle,Cross intersection,Serious injury accident,60 km/hr,No,385,203,235,26,44
134,2013,Collision with vehicle,Cross intersection,Serious injury accident,60 km/hr,Yes,20,7,11,0,3
135,2013,Collision with vehicle,Cross intersection,Serious injury accident,70 km/hr,No,90,43,56,4,11
136,2013,Collision with vehicle,Cross intersection,Serious injury accident,75 km/hr,No,2,2,2,1,0
137,2013,Collision with vehicle,Cross intersection,Serious injury accident,80 km/hr,No,175,86,109,4,27
138,2013,Collision with vehicle,Cross intersection,Serious injury accident,90 km/hr,No,6,5,4,1,1
139,2013,Collision with vehicle,Cross intersection,Serious injury accident,Not known,No,14,6,8,0,2
140,2013,Collision with vehicle,Dead end,Other injury accident,50 km/hr,No,1,1,0,0,0
141,2013,Collision with vehicle,Multiple intersection,Fatal accident,80 km/hr,Yes,2,2,1,0,0
142,2013,Collision with vehicle,Multiple intersection,Other injury accident,40 km/hr,No,2,1,0,0,0
143,2013,Collision with vehicle,Multiple intersection,Other injury accident,50 km/hr,No,36,17,23,1,4
144,2013,Collision with vehicle,Multiple intersection,Other injury accident,60 km/hr,No,104,51,77,3,14
145,2013,Collision with vehicle,Multiple intersection,Other injury accident,70 km/hr,No,38,18,22,0,4
146,2013,Collision with vehicle,Multiple intersection,Other injury accident,80 km/hr,No,32,13,22,0,4
147,2013,Collision with vehicle,Multiple intersection,Other injury accident,Not known,No,16,7,10,0,3
148,2013,Collision with vehicle,Multiple intersection,Serious injury accident,100 km/hr,No,5,4,4,0,1
149,2013,Collision with vehicle,Multiple intersection,Serious injury accident,40 km/hr,No,3,1,2,0,0
150,2013,Collision with vehicle,Multiple intersection,Serious injury accident,60 km/hr,No,32,10,15,0,3
151,2013,Collision with vehicle,Multiple intersection,Serious injury accident,70 km/hr,No,10,7,4,0,1
152,2013,Collision with vehicle,Multiple intersection,Serious injury accident,80 km/hr,No,24,10,15,1,2
153,2013,Collision with vehicle,Multiple intersection,Serious injury accident,Not known,No,2,1,2,0,1
154,2013,Collision with vehicle,Not at intersection,Fatal accident,100 km/hr,No,42,31,27,3,3
155,2013,Collision with vehicle,Not at intersection,Fatal accident,100 km/hr,Yes,12,9,7,0,0
156,2013,Collision with vehicle,Not at intersection,Fatal accident,110 km/hr,No,14,14,6,0,0
157,2013,Collision with vehicle,Not at intersection,Fatal accident,60 km/hr,No,10,7,4,0,0
158,2013,Collision with vehicle,Not at intersection,Fatal accident,60 km/hr,Yes,2,1,1,0,1
159,2013,Collision with vehicle,Not at intersection,Fatal accident,70 km/hr,Yes,2,2,2,0,1
160,2013,Collision with vehicle,Not at intersection,Fatal accident,80 km/hr,No,5,3,3,0,1
161,2013,Collision with vehicle,Not at intersection,Fatal accident,90 km/hr,No,4,4,2,0,1
162,2013,Collision with vehicle,Not at intersection,Fatal accident,Not known,No,2,1,2,0,2
163,2013,Collision with vehicle,Not at intersection,Other injury accident,100 km/hr,No,475,184,337,3,69
164,2013,Collision with vehicle,Not at intersection,Other injury accident,100 km/hr,Yes,10,5,6,0,4
165,2013,Collision with vehicle,Not at intersection,Other injury accident,110 km/hr,No,33,14,24,0,4
166,2013,Collision with vehicle,Not at intersection,Other injury accident,30km/hr,No,4,2,2,0,1
167,2013,Collision with vehicle,Not at intersection,Other injury accident,40 km/hr,No,142,70,90,1,16
168,2013,Collision with vehicle,Not at intersection,Other injury accident,50 km/hr,No,318,157,202,10,40
169,2013,Collision with vehicle,Not at intersection,Other injury accident,50 km/hr,Yes,8,7,6,1,3
170,2013,Collision with vehicle,Not at intersection,Other injury accident,60 km/hr,No,897,383,613,19,131
171,2013,Collision with vehicle,Not at intersection,Other injury accident,60 km/hr,Yes,8,7,6,0,0
172,2013,Collision with vehicle,Not at intersection,Other injury accident,70 km/hr,No,244,110,185,6,35
173,2013,Collision with vehicle,Not at intersection,Other injury accident,70 km/hr,Yes,5,2,2,0,2
174,2013,Collision with vehicle,Not at intersection,Other injury accident,80 km/hr,No,468,180,349,3,74
175,2013,Collision with vehicle,Not at intersection,Other injury accident,90 km/hr,No,10,4,5,0,0
176,2013,Collision with vehicle,Not at intersection,Other injury accident,Camping grounds or off road,No,7,3,3,0,0
177,2013,Collision with vehicle,Not at intersection,Other injury accident,Not known,No,116,52,83,2,17
178,2013,Collision with vehicle,Not at intersection,Serious injury accident,100 km/hr,No,383,179,171,10,23
179,2013,Collision with vehicle,Not at intersection,Serious injury accident,100 km/hr,Yes,14,12,9,0,1
180,2013,Collision with vehicle,Not at intersection,Serious injury accident,110 km/hr,No,17,11,10,1,0
181,2013,Collision with vehicle,Not at intersection,Serious injury accident,110 km/hr,Yes,3,2,2,0,0
182,2013,Collision with vehicle,Not at intersection,Serious injury accident,30km/hr,No,4,2,2,0,0
183,2013,Collision with vehicle,Not at intersection,Serious injury accident,40 km/hr,No,44,20,22,0,5
184,2013,Collision with vehicle,Not at intersection,Serious injury accident,40 km/hr,Yes,2,1,2,0,0
185,2013,Collision with vehicle,Not at intersection,Serious injury accident,50 km/hr,No,118,72,67,9,10
186,2013,Collision with vehicle,Not at intersection,Serious injury accident,50 km/hr,Yes,10,7,8,0,1
187,2013,Collision with vehicle,Not at intersection,Serious injury accident,60 km/hr,No,332,174,197,13,38
188,2013,Collision with vehicle,Not at intersection,Serious injury accident,60 km/hr,Yes,17,14,13,1,2
189,2013,Collision with vehicle,Not at intersection,Serious injury accident,70 km/hr,No,93,57,57,3,10
190,2013,Collision with vehicle,Not at intersection,Serious injury accident,70 km/hr,Yes,4,3,4,0,1
191,2013,Collision with vehicle,Not at intersection,Serious injury accident,80 km/hr,No,182,81,116,7,18
192,2013,Collision with vehicle,Not at intersection,Serious injury accident,80 km/hr,Yes,29,17,18,1,5
193,2013,Collision with vehicle,Not at intersection,Serious injury accident,90 km/hr,No,10,7,6,0,0
194,2013,Collision with vehicle,Not at intersection,Serious injury accident,Camping grounds or off road,No,2,1,1,0,0
195,2013,Collision with vehicle,Not at intersection,Serious injury accident,Not known,No,25,11,12,0,2
196,2013,Collision with vehicle,T intersection,Fatal accident,100 km/hr,No,13,10,8,1,2
197,2013,Collision with vehicle,T intersection,Fatal accident,100 km/hr,Yes,2,1,2,0,0
198,2013,Collision with vehicle,T intersection,Fatal accident,50 km/hr,No,2,1,1,0,0
199,2013,Collision with vehicle,T intersection,Fatal accident,60 km/hr,No,7,4,6,3,1
200,2013,Collision with vehicle,T intersection,Fatal accident,70 km/hr,No,5,5,4,1,2
201,2013,Collision with vehicle,T intersection,Fatal accident,80 km/hr,No,27,19,13,5,1
202,2013,Collision with vehicle,T intersection,Other injury accident,100 km/hr,No,92,45,51,3,7
203,2013,Collision with vehicle,T intersection,Other injury accident,30km/hr,No,2,1,2,0,2
204,2013,Collision with vehicle,T intersection,Other injury accident,40 km/hr,No,83,37,50,2,14
205,2013,Collision with vehicle,T intersection,Other injury accident,50 km/hr,No,338,159,218,14,33
206,2013,Collision with vehicle,T intersection,Other injury accident,60 km/hr,No,1336,589,900,28,190
207,2013,Collision with vehicle,T intersection,Other injury accident,60 km/hr,Yes,4,2,4,0,0
208,2013,Collision with vehicle,T intersection,Other injury accident,70 km/hr,No,359,159,261,7,54
209,2013,Collision with vehicle,T intersection,Other injury accident,80 km/hr,No,396,178,294,7,62
210,2013,Collision with vehicle,T intersection,Other injury accident,90 km/hr,No,9,4,5,1,1
211,2013,Collision with vehicle,T intersection,Other injury accident,Not known,No,120,53,85,2,13
212,2013,Collision with vehicle,T intersection,Serious injury accident,100 km/hr,No,64,39,36,5,6
213,2013,Collision with vehicle,T intersection,Serious injury accident,100 km/hr,Yes,3,2,2,0,1
214,2013,Collision with vehicle,T intersection,Serious injury accident,30km/hr,No,2,1,1,0,0
215,2013,Collision with vehicle,T intersection,Serious injury accident,40 km/hr,No,27,12,10,0,2
216,2013,Collision with vehicle,T intersection,Serious injury accident,50 km/hr,No,105,50,56,5,9
217,2013,Collision with vehicle,T intersection,Serious injury accident,50 km/hr,Yes,12,8,7,0,2
218,2013,Collision with vehicle,T intersection,Serious injury accident,60 km/hr,No,382,192,238,10,50
219,2013,Collision with vehicle,T intersection,Serious injury accident,60 km/hr,Yes,29,18,18,0,2
220,2013,Collision with vehicle,T intersection,Serious injury accident,70 km/hr,No,133,68,83,6,13
221,2013,Collision with vehicle,T intersection,Serious injury accident,80 km/hr,No,160,95,110,9,19
222,2013,Collision with vehicle,T intersection,Serious injury accident,80 km/hr,Yes,3,3,2,0,1
223,2013,Collision with vehicle,T intersection,Serious injury accident,90 km/hr,No,8,5,5,0,1
224,2013,Collision with vehicle,T intersection,Serious injury accident,Camping grounds or off road,No,2,1,0,0,0
225,2013,Collision with vehicle,T intersection,Serious injury accident,Not known,No,23,10,13,1,1
226,2013,Collision with vehicle,Unknown,Other injury accident,60 km/hr,No,2,1,2,0,0
227,2013,Collision with vehicle,Y intersection,Other injury accident,50 km/hr,No,11,4,7,1,2
228,2013,Collision with vehicle,Y intersection,Other injury accident,60 km/hr,No,12,6,6,0,2
229,2013,Collision with vehicle,Y intersection,Other injury accident,60 km/hr,Yes,3,1,2,0,1
230,2013,Collision with vehicle,Y intersection,Other injury accident,70 km/hr,No,6,5,2,0,1
231,2013,Collision with vehicle,Y intersection,Other injury accident,Not known,No,2,1,1,0,0
232,2013,Collision with vehicle,Y intersection,Serious injury accident,100 km/hr,Yes,2,2,2,0,1
233,2013,Fall from or in moving vehicle,Cross intersection,Other injury accident,60 km/hr,No,5,3,2,0,2
234,2013,Fall from or in moving vehicle,Cross intersection,Serious injury accident,100 km/hr,No,4,2,1,0,0
235,2013,Fall from or in moving vehicle,Not at intersection,Fatal accident,70 km/hr,Yes,6,1,2,0,0
236,2013,Fall from or in moving vehicle,Not at intersection,Other injury accident,100 km/hr,No,4,2,1,0,1
237,2013,Fall from or in moving vehicle,Not at intersection,Other injury accident,50 km/hr,No,7,4,1,0,0
238,2013,Fall from or in moving vehicle,Not at intersection,Other injury accident,60 km/hr,No,6,3,2,0,0
239,2013,Fall from or in moving vehicle,Not at intersection,Other injury accident,70 km/hr,No,2,1,1,0,0
240,2013,Fall from or in moving vehicle,Not at intersection,Other injury accident,Not known,No,10,5,3,0,1
241,2013,Fall from or in moving vehicle,Not at intersection,Serious injury accident,100 km/hr,No,10,6,2,0,1
242,2013,Fall from or in moving vehicle,Not at intersection,Serious injury accident,40 km/hr,No,3,1,1,0,0
243,2013,Fall from or in moving vehicle,Not at intersection,Serious injury accident,50 km/hr,No,6,5,2,0,1
244,2013,Fall from or in moving vehicle,Not at intersection,Serious injury accident,60 km/hr,No,3,2,1,0,0
245,2013,Fall from or in moving vehicle,Not at intersection,Serious injury accident,Not known,No,11,5,5,0,0
246,2013,Fall from or in moving vehicle,T intersection,Other injury accident,100 km/hr,No,3,1,1,0,0
247,2013,Fall from or in moving vehicle,T intersection,Other injury accident,50 km/hr,No,8,3,3,0,0
248,2013,Fall from or in moving vehicle,T intersection,Other injury accident,60 km/hr,No,9,4,2,0,0
249,2013,Fall from or in moving vehicle,T intersection,Other injury accident,70 km/hr,No,3,1,2,0,0
250,2013,Fall from or in moving vehicle,T intersection,Other injury accident,Not known,No,5,2,2,0,0
251,2013,Fall from or in moving vehicle,T intersection,Serious injury accident,40 km/hr,No,2,1,1,0,0
252,2013,Fall from or in moving vehicle,T intersection,Serious injury accident,50 km/hr,No,2,1,0,0,0
253,2013,Fall from or in moving vehicle,T intersection,Serious injury accident,60 km/hr,No,8,5,3,0,0
254,2013,Fall from or in moving vehicle,T intersection,Serious injury accident,80 km/hr,No,2,1,1,0,0
255,2013,Fall from or in moving vehicle,T intersection,Serious injury accident,Not known,No,2,1,1,0,0
256,2013,No collision and no object struck,Cross intersection,Other injury accident,100 km/hr,No,1,1,0,0,0
257,2013,No collision and no object struck,Cross intersection,Other injury accident,40 km/hr,No,4,3,1,0,0
258,2013,No collision and no object struck,Cross intersection,Other injury accident,50 km/hr,No,12,9,2,0,0
259,2013,No collision and no object struck,Cross intersection,Other injury accident,60 km/hr,No,19,14,7,0,1
260,2013,No collision and no object struck,Cross intersection,Other injury accident,70 km/hr,No,2,1,1,0,0
261,2013,No collision and no object struck,Cross intersection,Other injury accident,80 km/hr,No,1,1,0,0,0
262,2013,No collision and no object struck,Cross intersection,Other injury accident,Not known,No,2,1,0,0,0
263,2013,No collision and no object struck,Cross intersection,Serious injury accident,40 km/hr,No,3,2,1,0,0
264,2013,No collision and no object struck,Cross intersection,Serious injury accident,50 km/hr,No,5,4,1,0,0
265,2013,No collision and no object struck,Cross intersection,Serious injury accident,60 km/hr,No,4,4,0,0,0
266,2013,No collision and no object struck,Cross intersection,Serious injury accident,80 km/hr,No,1,1,0,0,0
267,2013,No collision and no object struck,Cross intersection,Serious injury accident,Not known,No,3,2,0,0,0
268,2013,No collision and no object struck,Dead end,Other injury accident,50 km/hr,No,1,1,0,0,0
269,2013,No collision and no object struck,Multiple intersection,Other injury accident,60 km/hr,No,4,3,1,0,0
270,2013,No collision and no object struck,Multiple intersection,Other injury accident,70 km/hr,No,1,1,0,0,0
271,2013,No collision and no object struck,Multiple intersection,Serious injury accident,40 km/hr,No,1,1,0,0,0
272,2013,No collision and no object struck,Multiple intersection,Serious injury accident,50 km/hr,Yes,1,1,0,0,0
273,2013,No collision and no object struck,Multiple intersection,Serious injury accident,60 km/hr,No,2,2,0,0,0
274,2013,No collision and no object struck,Not at intersection,Other injury accident,100 km/hr,No,47,43,5,0,3
275,2013,No collision and no object struck,Not at intersection,Other injury accident,110 km/hr,No,3,3,2,0,0
276,2013,No collision and no object struck,Not at intersection,Other injury accident,40 km/hr,No,11,6,4,0,0
277,2013,No collision and no object struck,Not at intersection,Other injury accident,50 km/hr,No,19,13,4,0,1
278,2013,No collision and no object struck,Not at intersection,Other injury accident,50 km/hr,Yes,1,1,0,0,0
279,2013,No collision and no object struck,Not at intersection,Other injury accident,60 km/hr,No,25,17,7,0,1
280,2013,No collision and no object struck,Not at intersection,Other injury accident,70 km/hr,No,8,8,2,0,2
281,2013,No collision and no object struck,Not at intersection,Other injury accident,80 km/hr,No,19,18,5,0,0
282,2013,No collision and no object struck,Not at intersection,Other injury accident,80 km/hr,Yes,1,1,1,0,1
283,2013,No collision and no object struck,Not at intersection,Other injury accident,Camping grounds or off road,No,2,2,0,0,0
284,2013,No collision and no object struck,Not at intersection,Other injury accident,Not known,No,38,35,4,0,1
285,2013,No collision and no object struck,Not at intersection,Other injury accident,Other speed limit,No,1,1,1,0,1
286,2013,No collision and no object struck,Not at intersection,Serious injury accident,100 km/hr,No,41,39,6,1,2
